Warehouse Location,Customer,Ship To Location,Sales Order Number,Salesperson,Customer PO Number,Commodity ID,Style ID,Size ID,Grade ID,Label ID,Region ID,Method ID,Storage ID,Color ID,Order Quantity,Sales Order Date,Ship Date
COBBLESTONE,ALDI,"BATAVIA, IL",368157,PRESCOTT LEYBA,7502351741,NAVEL,TWB 150/4V,088,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,57,2024-10-28,2024-10-30
COBBLESTONE,ALDI,"BATAVIA, IL",368161,PRESCOTT LEYBA,7502357761,NAVEL,TWB 150/4V,088,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,57,2024-10-28,2024-10-30
COBBLESTONE,ALDI FARIBAULT,"FARIBAULT, MN",367642,PRESCOTT LEYBA,324135,NAVEL,TWB 150/4V,113,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,60,2024-10-23,2024-10-29
COBBLESTONE,ALDI MT JULIET,"MOUNT JULIET, TN",368041,PRESCOTT LEYBA,280482,LEMON,VEX 12-2#,115,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,CHEP,490,2024-10-25,2024-10-30
COBBLESTONE,ALDI MT JULIET,"MOUNT JULIET, TN",368041,PRESCOTT LEYBA,280482,NAVEL,TWB 150/4V,113,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,40,2024-10-25,2024-10-30
COBBLESTONE,ALDI SPRINGFIELD,"SPRINGFIELD, OH",367892,PRESCOTT LEYBA,268175,LEMON,VEX 12-2#,115,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,CHEP,300,2024-10-24,2024-10-29
COBBLESTONE,ALDI SPRINGFIELD,"SPRINGFIELD, OH",367892,PRESCOTT LEYBA,268175,MANDARIN,GIRO 10-3#,036,FANCY,MANDIES,CHILE,6 1/2 KRAFT,JIREH ORANGE CO,CHEP,720,2024-10-24,2024-10-29
COBBLESTONE,ANA INTERNATIONAL CORP.,"BUSAN, KOREA",367927,JIM LAMB,308842,GRAPEFRUIT,CTN,036,EXP FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,EXPORT,63,2024-10-25,2024-10-29
COBBLESTONE,ANA INTERNATIONAL CORP.,"BUSAN, KOREA",367927,JIM LAMB,308842,GRAPEFRUIT,CTN,040,EXP FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,EXPORT,567,2024-10-25,2024-10-29
COBBLESTONE,ANA INTERNATIONAL CORP.,"BUSAN, KOREA",367927,JIM LAMB,308842,GRAPEFRUIT,CTN,048,EXP FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,EXPORT,441,2024-10-25,2024-10-29
COBBLESTONE,ANA INTERNATIONAL CORP.,"BUSAN, KOREA",367927,JIM LAMB,308842,GRAPEFRUIT,CTN,056,EXP FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,EXPORT,126,2024-10-25,2024-10-29
COBBLESTONE,ASSOCIATED WHOLESALE GROCERS,"ST. CLOUD, MN",367871,DUNCAN MARRIOTT,160258984,MANDARIN,GIRO 10-3#,003,FANCY,POPPIES,CHILE,ORIG CTN,COBBLESTONE,REGULAR,120,2024-10-24,2024-10-29
COBBLESTONE,"ATLANTIC FRESH TRADING, LLC.","CLARKS SUMMIT, PA",367369,ALEX MARRIOTT,67665,NAVEL,CTN,138,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,0,2024-10-21,2024-10-29
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,GRAPEFRUIT,CTN,032,FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,REGULAR,18,2024-10-25,2024-10-30
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,GRAPEFRUIT,CTN,048,FANCY,,USA,SCTN GRPF KRP,COBBLESTONE,REGULAR,54,2024-10-25,2024-10-30
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,LEMON,GIRO 18-2#,165,CHOICE,,USA,8 1/4 LEM KRP,COBBLESTONE,REGULAR,160,2024-10-25,2024-10-30
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,NAVEL,CTN,056,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,243,2024-10-25,2024-10-30
COBBLESTONE,"CAPITOL CITY PRODUCE COMPANY, LLC","BATON ROUGE,  LA",367955,DUNCAN MARRIOTT,609676,NAVEL,GIRO 12-3#,113,FANCY,HEIRLOOM,USA,7 7/8 HLM KRP,COBBLESTONE,REGULAR,240,2024-10-25,2024-10-30
COBBLESTONE,"CDS DISTRIBUTING, INC","SOUTH SAN FRANCISCO, CA",367570,SETH NORDELL,,NAVEL,CTN,113,CHOICE,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,108,2024-10-22,2024-10-29
COBBLESTONE,COAST CITRUS DISTRIBUTORS,"SAN DIEGO, CA",367759,MARTIN GARCIA,567852,NAVEL,CTN,088,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,54,2024-10-23,2024-10-29
COBBLESTONE,COAST CITRUS DISTRIBUTORS,"SAN DIEGO, CA",367759,MARTIN GARCIA,567852,NAVEL,CTN,113,FANCY,,USA,SCTN F NAV KRP,COBBLESTONE,REGULAR,324,2024-10-23,2024-10-29
COBBLESTONE,COAST TROPICAL,"UNION CITY, CA",368105,MARTIN GARCIA,253162,NAVEL,CTN,048,FANCY,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,54,2024-10-28,2024-10-29
COBBLESTONE,COAST TROPICAL,"UNION CITY, CA",368105,MARTIN GARCIA,253162,NAVEL,CTN,072,FANCY,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,54,2024-10-28,2024-10-29
COBBLESTONE,COAST TROPICAL,"UNION CITY, CA",368105,MARTIN GARCIA,253162,NAVEL,CTN,088,FANCY,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,54,2024-10-28,2024-10-29
COBBLESTONE,COAST TROPICAL,"UNION CITY, CA",368105,MARTIN GARCIA,253162,NAVEL,CTN,113,FANCY,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,270,2024-10-28,2024-10-29
COBBLESTONE,COAST TROPICAL,"UNION CITY, CA",368105,MARTIN GARCIA,253162,NAVEL,CTN,138,FANCY,NO STICKER,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,108,2024-10-28,2024-10-29
COBBLESTONE,COSTCO WHOLESALE,"AURORA, CO",368037,JOEL YEARY,013871025033,NAVEL,FOX 4-8#,072,FANCY,,USA,7 3/8 ORN KRP,COBBLESTONE,CHEP,1000,2024-10-25,2024-10-29
COBBLESTONE,COSTCO WHOLESALE,"AURORA, CO - WET",103502,JOEL YEARY,013871022125,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-10-29
COBBLESTONE,COSTCO WHOLESALE,"DALLAS, TX (#289) (WET DEPOT)",367092,JOEL YEARY,002891015152,NAVEL,FOX 4-8#,113,FANCY,,USA,7 3/8 ORN KRP,COBBLESTONE,CHEP,600,2024-10-15,2024-10-29
COBBLESTONE,COSTCO WHOLESALE,"MIRALOMA, CA (#961)",103504,JOEL YEARY,009611022465,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,600,2024-10-22,2024-10-30
COBBLESTONE,COSTCO WHOLESALE,"MIRALOMA, CA (#961)",103509,JOEL YEARY,009611022460,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,0,2024-10-22,2024-10-29
COBBLESTONE,COSTCO WHOLESALE,"SALT LAKE CITY, UT (WET)",103501,JOEL YEARY,005851022068,MANDARIN,GIRO 6-5#,04B,FANCY,FRUIT STAND,CHILE,ORIG CTN,COBBLESTONE,CHEP,1200,2024-10-22,2024-10-30
COBBLESTONE,DAYLIGHT FOODS,"UNION CITY, CA",368315,ALEX MARRIOTT,548821,LEMON,CTN,165,FANCY,,USA,SCTN F LEM KRP,COBBLESTONE,REGULAR,27,2024-10-29,2024-10-30
COBBLESTONE,DAYLIGHT FOODS,"UNION CITY, CA",368315,ALEX MARRIOTT,548821,LEMON,GIRO 18-2#,115,CHOICE,,USA,BAGMAS MED,COBBLESTONE,REGULAR,5,2024-10-29,2024-10-30
